id,query_id,product_id,label
0,1,2,Relevant
1,1,6,Relevant
2,1,17,Relevant
3,1,24,Relevant
4,1,29,Relevant
5,1,36,Irrelevant
6,2,4,Relevant
7,2,13,Relevant
8,2,20,Relevant
9,2,33,Relevant
10,2,38,Irrelevant
11,3,1,Irrelevant
12,3,5,Irrelevant
13,3,9,Irrelevant
14,3,19,Irrelevant
15,3,30,Irrelevant
16,4,14,Irrelevant
17,4,28,Irrelevant
18,4,34,Irrelevant
19,4,42,Irrelevant
20,4,45,Irrelevant
21,5,1,Relevant
22,5,19,Relevant
23,5,23,Relevant
24,5,30,Relevant
25,5,37,Relevant
26,6,3,Relevant
27,6,7,Irrelevant
28,6,16,Relevant
29,6,21,Irrelevant
30,6,35,Relevant
31,7,44,Relevant
32,7,9,Irrelevant
33,7,19,Relevant
34,7,23,Irrelevant
35,7,47,Irrelevant
36,8,8,Irrelevant
37,8,12,Irrelevant
38,8,15,Irrelevant
39,8,25,Irrelevant
40,8,27,Irrelevant
41,9,14,Relevant
42,9,28,Irrelevant
43,9,34,Irrelevant
44,9,38,Irrelevant
45,9,42,Irrelevant
46,10,23,Irrelevant
47,10,38,Relevant
48,10,42,Relevant
49,10,1,Irrelevant
50,10,9,Irrelevant
